"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27647","userCanGoToProfile","","Wed May 21 22:54:11 CEST 2025","broken","Wed May 21 22:54:38 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","userCanGoToProfile"
"","8874","Вход через кнопку в форме регистрации","","Thu May 22 13:11:28 CEST 2025","passed","Thu May 22 13:11:37 CEST 2025","","tests.auth.LoginTest","tests.auth.LoginTest","loginFromRegisterForm[Browser: yandex]"
"","5249","switchingToFillingsTabWorks[Browser: yandex]","","Thu May 22 13:14:40 CEST 2025","passed","Thu May 22 13:14:46 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToFillingsTabWorks[Browser: yandex]"
"","8832","Выход из аккаунта","","Thu May 22 13:13:34 CEST 2025","passed","Thu May 22 13:13:43 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","logoutFromProfile[Browser: yandex]"
"","6156","Вход через кнопку 'Личный кабинет'","","Thu May 22 13:11:37 CEST 2025","passed","Thu May 22 13:11:43 CEST 2025","","tests.auth.LoginTest","tests.auth.LoginTest","loginFromAccountButton[Browser: yandex]"
"","28524","Вход через кнопку 'Личный кабинет'","","Thu May 22 13:10:26 CEST 2025","passed","Thu May 22 13:10:54 CEST 2025","","tests.auth.LoginTest","tests.auth.LoginTest","loginFromAccountButton[Browser: chrome]"
"","7112","Успешная регистрация","","Thu May 22 13:09:13 CEST 2025","passed","Thu May 22 13:09:20 CEST 2025","","tests.auth.RegistrationTest","tests.auth.RegistrationTest","testSuccessfulRegistration[Browser: yandex]"
"","4230","switchingToSaucesTabWorks[Browser: yandex]","","Thu May 22 13:14:46 CEST 2025","passed","Thu May 22 13:14:50 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToSaucesTabWorks[Browser: yandex]"
"","23681","Ошибка при коротком пароле","","Thu May 22 13:08:49 CEST 2025","passed","Thu May 22 13:09:12 CEST 2025","","tests.auth.RegistrationTest","tests.auth.RegistrationTest","testRegistrationWithShortPassword[Browser: chrome]"
"","6308","Вход через кнопку в форме восстановления пароля","","Thu May 22 13:11:43 CEST 2025","passed","Thu May 22 13:11:50 CEST 2025","","tests.auth.LoginTest","tests.auth.LoginTest","loginFromForgotPasswordForm[Browser: yandex]"
"","4506","switchingToBunsTabWorks[Browser: yandex]","","Thu May 22 13:14:50 CEST 2025","passed","Thu May 22 13:14:54 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToBunsTabWorks[Browser: yandex]"
"","26944","Переход в конструктор через кнопку 'Конструктор'","","Thu May 22 13:11:50 CEST 2025","passed","Thu May 22 13:12:17 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","goToConstructorFromButton[Browser: chrome]"
"","12709","switchingToBunsTabWorks","","Wed May 21 22:55:08 CEST 2025","passed","Wed May 21 22:55:21 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToBunsTabWorks"
"","22437","Переход в личный кабинет","","Thu May 22 13:12:40 CEST 2025","passed","Thu May 22 13:13:03 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","goToProfileFromMainPage[Browser: chrome]"
"","14904","switchingToSaucesTabWorks","","Wed May 21 22:54:53 CEST 2025","passed","Wed May 21 22:55:08 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToSaucesTabWorks"
"","27635","Успешная регистрация","","Thu May 22 13:08:21 CEST 2025","passed","Thu May 22 13:08:48 CEST 2025","","tests.auth.RegistrationTest","tests.auth.RegistrationTest","testSuccessfulRegistration[Browser: chrome]"
"","13277","switchingToBunsTabWorks[Browser: chrome]","","Thu May 22 13:14:27 CEST 2025","passed","Thu May 22 13:14:40 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToBunsTabWorks[Browser: chrome]"
"","14890","switchingToFillingsTabWorks","","Wed May 21 22:54:38 CEST 2025","passed","Wed May 21 22:54:53 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToFillingsTabWorks"
"","6417","Переход в конструктор через логотип","","Thu May 22 13:13:50 CEST 2025","passed","Thu May 22 13:13:56 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","goToConstructorFromLogo[Browser: yandex]"
"","22743","Переход в конструктор через логотип","","Thu May 22 13:13:03 CEST 2025","passed","Thu May 22 13:13:26 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","goToConstructorFromLogo[Browser: chrome]"
"","7010","Переход в личный кабинет","","Thu May 22 13:13:43 CEST 2025","passed","Thu May 22 13:13:50 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","goToProfileFromMainPage[Browser: yandex]"
"","8091","Переход в конструктор через кнопку 'Конструктор'","","Thu May 22 13:13:26 CEST 2025","passed","Thu May 22 13:13:34 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","goToConstructorFromButton[Browser: yandex]"
"","23600","Выход из аккаунта","","Thu May 22 13:12:17 CEST 2025","passed","Thu May 22 13:12:40 CEST 2025","","tests.profile.ProfileNavigationTest","tests.profile.ProfileNavigationTest","logoutFromProfile[Browser: chrome]"
"","5106","Ошибка при коротком пароле","","Thu May 22 13:09:20 CEST 2025","passed","Thu May 22 13:09:25 CEST 2025","","tests.auth.RegistrationTest","tests.auth.RegistrationTest","testRegistrationWithShortPassword[Browser: yandex]"
"","13325","switchingToSaucesTabWorks[Browser: chrome]","","Thu May 22 13:14:14 CEST 2025","passed","Thu May 22 13:14:27 CEST 2025","","tests.constructor.ConstructorSectionTest","tests.constructor.ConstructorSectionTest","switchingToSaucesTabWorks[Browser: chrome]"
